	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	BALBC	C57Bl6
chr14_46767405_46767605	chr14	46767405	46767605	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_028222, intron 5 of 7)	intron (NM_028222, intron 5 of 7)	6964.0	NM_028222	72391.0	Mm.272394	NM_028222	ENSMUSG00000037628	Cdkn3	2410006H10Rik|KAP	cyclin-dependent kinase inhibitor 3	protein-coding	67.495	4.534999999999998
chr3_69679321_69679521	chr3	69679321	69679521	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Lx4B|LINE|L1	-42634.0	NM_133787	97112.0	Mm.21062	NM_133787	ENSMUSG00000027787	Nmd3	C87860	NMD3 ribosome export adaptor	protein-coding	19.155	5.855
chr18_9754296_9754496	chr18	9754296	9754496	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_130449, intron 2 of 9)	intron (NM_130449, intron 2 of 9)	46748.0	NM_130449	140792.0	Mm.218571	NM_130449	ENSMUSG00000036103	Colec12	CL-P1|SRCL|Scara4	collectin sub-family member 12	protein-coding	16.845	4.395
chr2_4919339_4919539	chr2	4919339	4919539	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_010726, intron 1 of 8)	intron (NM_010726, intron 1 of 8)	443.0	NM_010726	16922.0	Mm.391704	NM_010726	ENSMUSG00000026664	Phyh	AI256161|AI265699|Lnap1|PAHX	phytanoyl-CoA hydroxylase	protein-coding	113.83	6.4
chr12_18304972_18305172	chr12	18304972	18305172	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	IAPLTR3-int|LTR|ERVK	-209438.0	NM_001201330	236366.0	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding	27.82	1.005
chr2_129515679_129515889	chr2	129515684	129515884	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_177653, intron 1 of 6)	intron (NM_177653, intron 1 of 6)	20818.0	NM_177653	228592.0	Mm.452175	NM_177653	ENSMUSG00000043727	F830045P16Rik	Sirpb3	RIKEN cDNA F830045P16 gene	protein-coding	102.02	48.67
chr16_36436899_36437099	chr16	36436899	36437099	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	L1MB8|LINE|L1	18393.0	NM_025288	20863.0	Mm.136573	NM_025288	ENSMUSG00000054905	Stfa3	Stf3	stefin A3	protein-coding	15.235	7.085000000000001
chr1_140183194_140183396	chr1	140183195	140183395	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	5' UTR (NM_009888, exon 1 of 22)	5' UTR (NM_009888, exon 1 of 22)	116.0	NM_009888	12628.0	Mm.8655	NM_009888	ENSMUSG00000026365	Cfh	Mud-1|NOM|Sas-1|Sas1	complement component factor h	protein-coding	214.835	74.5
chr1_77464206_77464406	chr1	77464206	77464406	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_007936, intron 3 of 17)	intron (NM_007936, intron 3 of 17)	32462.0	NR_105770	102465180.0		NR_105770	ENSMUSG00000099141	Mir6352	Gm27481|mmu-mir-6352	microRNA 6352	ncRNA	16.1	5.46
chr6_128362594_128362797	chr6	128362595	128362795	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_008021)	promoter-TSS (NM_008021)	127.0	NM_001326583	72440.0	Mm.143908	NM_197981	ENSMUSG00000048668	Rhno1	2510047L19Rik|5930416I19Rik	RAD9-HUS1-RAD1 interacting nuclear orphan 1	protein-coding	48.02	22.28
chr1_56120831_56121031	chr1	56120831	56121031	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	L1Md_F2|LINE|L1	101953.0	NR_126075	69356.0	Mm.393775	NR_126075	ENSMUSG00000100372	1700003I22Rik	-	RIKEN cDNA 1700003I22 gene	ncRNA	24.125	4.46
chr14_77542044_77542259	chr14	77542051	77542251	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001253759, intron 7 of 19)	intron (NM_001253759, intron 7 of 19)	-35283.0	NR_033141	629678.0	Mm.390721	NM_001037935	ENSMUSG00000067973	Gm6994	EG629678	predicted gene 6994	ncRNA	60.385	23.04
chr9_67813723_67813923	chr9	67813723	67813923	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	18507.0	NM_001163143	244911.0	Mm.325849	NM_001163143	ENSMUSG00000047990	C2cd4a	EG244911|Fam148a	C2 calcium-dependent domain containing 4A	protein-coding	17.02	6.925
chr14_14686187_14686396	chr14	14686191	14686391	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-16734.0	NM_001033270	218756.0	Mm.258893	NM_001033270	ENSMUSG00000021733	Slc4a7	E430014N10Rik|NBC3|NBCn1|NBCn1-G	solute carrier family 4, sodium bicarbonate cotransporter, member 7	protein-coding	73.785	31.38
chr13_31473313_31473515	chr13	31473314	31473514	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-84756.0	NM_008239	15220.0	Mm.44235	NM_008239	ENSMUSG00000038415	Foxq1	HFH-1|Hfh1|Hfh1l|sa	forkhead box Q1	protein-coding	112.49	54.345
chr12_116135381_116135581	chr12	116135381	116135581	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_009511, intron 6 of 12)	MTD|LTR|ERVL-MaLR	57755.0	NM_009511	22355.0	Mm.395245	NM_009511	ENSMUSG00000011171	Vipr2	VPAC2|VPAC2R|Vip2	vasoactive intestinal peptide receptor 2	protein-coding	22.965	7.855
chr1_172397450_172397650	chr1	172397450	172397650	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Lx10|LINE|L1	21019.0	NM_026234	67556.0	Mm.26612	NM_026234	ENSMUSG00000050229	Pigm	4933437L05Rik|AI644422|AV302080|C920011G20Rik	phosphatidylinositol glycan anchor biosynthesis, class M	protein-coding	20.53	5.085
chr15_7678753_7678953	chr15	7678753	7678953	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	L1MB2|LINE|L1	-131195.0	NM_010275	14573.0	Mm.4679	NM_010275	ENSMUSG00000022144	Gdnf	AI385739|ATF	glial cell line derived neurotrophic factor	protein-coding	17.95	6.785
chr12_16897302_16897503	chr12	16897302	16897502	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_009072, intron 1 of 32)	MTC|LTR|ERVL-MaLR	2424.0	NM_009072	19878.0	Mm.276024	NM_009072	ENSMUSG00000020580	Rock2	B230113H15Rik|ROKalpha|Rho-kinase|Rock-II|Rock2m|mKIAA0619	Rho-associated coiled-coil containing protein kinase 2	protein-coding	76.97999999999998	30.6
chr1_59919216_59919416	chr1	59919216	59919416	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001037725, intron 1 of 7)	intron (NM_001037725, intron 1 of 7)	6310.0	NM_001037725	72750.0	Mm.258250	NM_001037725	ENSMUSG00000041040	Fam117b	2810425F24Rik|6330416D14Rik|Als2cr13	family with sequence similarity 117, member B	protein-coding	59.625	17.58
chr7_84377467_84377667	chr7	84377467	84377667	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_007488, intron 1 of 18)	intron (NM_007488, intron 1 of 18)	32471.0	NM_007488	11864.0	Mm.38594	NM_007488	ENSMUSG00000015709	Arnt2	Hif-2b|bHLHe1|mKIAA0307	aryl hydrocarbon receptor nuclear translocator 2	protein-coding	17.54	8.085
chr2_130929969_130930176	chr2	130929972	130930172	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_009730, intron 1 of 28)	intron (NM_009730, intron 1 of 28)	23577.0	NM_009730	11990.0	Mm.119936	NM_009730	ENSMUSG00000027312	Atrn	AW558010|Mgca|mg	attractin	protein-coding	87.47	24.03
chr17_71964685_71964885	chr17	71964685	71964885	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_007439, intron 9 of 28)	intron (NM_007439, intron 9 of 28)	182838.0	NM_030179	78785.0	Mm.196382	NM_030179	ENSMUSG00000024059	Clip4	1700024K14Rik|1700074B05Rik|4833417L20Rik|5830409B12Rik|Rsnl2	CAP-GLY domain containing linker protein family, member 4	protein-coding	27.325	9.02
chr10_118162746_118162946	chr10	118162746	118162946	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001162904, intron 12 of 14)	intron (NM_001162904, intron 12 of 14)	21059.0	NM_148922	17245.0	Mm.101191	NM_010785	ENSMUSG00000020212	Mdm1	Arrd2|Mdm-1	transformed mouse 3T3 cell double minute 1	protein-coding	69.44	15.195
chr4_137019397_137019597	chr4	137019397	137019597	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_198248, intron 1 of 18)	intron (NM_198248, intron 1 of 18)	29198.0	NM_198248	230848.0	Mm.31068	NM_198248	ENSMUSG00000060862	Zbtb40	BC059177|C230087D24|Gm571|mKIAA0478	zinc finger and BTB domain containing 40	protein-coding	23.14	8.78
chr5_133547485_133547686	chr5	133547485	133547685	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	ORR1E|LTR|ERVL-MaLR	-552163.0	NM_030719	80909.0	Mm.45218	NM_030719	ENSMUSG00000015944	Gatsl2	7530428J21Rik|AW742413|Gats|Gatsl1	GATS protein-like 2	protein-coding	142.435	46.84
chr8_70355871_70356071	chr8	70355871	70356071	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-2692.0	NM_001122829	19704.0	Mm.258280	NM_030680	ENSMUSG00000058301	Upf1	B430202H16Rik|NORF1|PNORF-1|Rent1|Upflp	UPF1 regulator of nonsense transcripts homolog (yeast)	protein-coding	102.895	40.71
chr1_160882009_160882225	chr1	160882017	160882217	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	MTD|LTR|ERVL-MaLR	-24294.0	NM_001024952	381305.0	Mm.329667	NM_001024952	ENSMUSG00000040423	Rc3h1	5730557L09Rik|Gm551|N28103|mKIAA2025	RING CCCH (C3H) domains 1	protein-coding	44.705	14.025
chr1_56078158_56078358	chr1	56078158	56078358	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	L1_Mus2|LINE|L1	59280.0	NR_126075	69356.0	Mm.393775	NR_126075	ENSMUSG00000100372	1700003I22Rik	-	RIKEN cDNA 1700003I22 gene	ncRNA	14.77	1.46
chr17_42883047_42883247	chr17	42883047	42883247	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-6723.0	NM_009847	12488.0	Mm.218637	NM_009847	ENSMUSG00000061665	Cd2ap	AL024079|C78928|METS-1|Mets1	CD2-associated protein	protein-coding	41.285	16.46
chr10_86949157_86949362	chr10	86949159	86949359	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_138673, intron 17 of 68)	intron (NM_138673, intron 17 of 68)	58683.0	NM_138673	192188.0	Mm.279611	NM_138673	ENSMUSG00000035459	Stab2	FEEL-2|FELL|MFEEL-2|STAB-2	stabilin 2	protein-coding	90.175	40.145
chr19_24325849_24326049	chr19	24325849	24326049	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_008846, intron 13 of 14)	intron (NM_008846, intron 13 of 14)	-45363.0	NM_008044	14297.0	Mm.7319	NM_008044	ENSMUSG00000059363	Fxn	FA|FARR|Frda|X25	frataxin	protein-coding	61.04	13.545000000000002
chr13_110004913_110005113	chr13	110004913	110005113	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	MLT1D|LTR|ERVL-MaLR	101204.0	NR_035442	100316683.0		NR_035442	ENSMUSG00000084651	Mir1904	Mirn1904|mmu-mir-1904	microRNA 1904	ncRNA	27.695	1.93
chr13_23535251_23535451	chr13	23535251	23535451	+	1000.0	BALBC_PU1_notx_idr.tsv	promoter-TSS (NM_145073)	promoter-TSS (NM_145073)	-67.0	NM_145073	97908.0	Mm.261657	NM_145073	ENSMUSG00000099517	Hist1h3g	H3.1-221|M32460	histone cluster 1, H3g	protein-coding	14.134999999999998	5.855
chr17_57671095_57671319	chr17	57671107	57671307	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-98363.0	NM_001081653	620292.0	Mm.391030	NM_001081653	ENSMUSG00000038048	Cntnap5c	Caspr5-3|EG620292|Gm325	contactin associated protein-like 5C	protein-coding	49.785	24.175
chr5_139860501_139860701	chr5	139860501	139860701	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	G-rich|Low_complexity|Low_complexity	-33758.0	NM_025604	66506.0	Mm.29070	NM_025604	ENSMUSG00000029551	Psmg3	1810042K04Rik|4930403H09Rik|AI303239	proteasome (prosome, macropain) assembly chaperone 3	protein-coding	19.545	7.4
chr8_84465590_84465801	chr8	84465595	84465795	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001252059, intron 2 of 45)	RLTR12B|LTR|ERVK	50331.0	NM_001252060	12286.0	Mm.334658	NM_007578	ENSMUSG00000034656	Cacna1a	APCA|BI|Caca1a|Cacnl1a4|Cav2.1|Ccha1a|EA2|FHM|HPCA|MHP|MHP1|SCA6|alpha1A|la|nmf352|rkr|smrl|tg	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	protein-coding	48.355	19.945
chr18_9815593_9815793	chr18	9815593	9815793	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_130449, intron 2 of 9)	Lx6|LINE|L1	108045.0	NM_130449	140792.0	Mm.218571	NM_130449	ENSMUSG00000036103	Colec12	CL-P1|SRCL|Scara4	collectin sub-family member 12	protein-coding	20.880000000000006	2.77
chr9_47530490_47530703	chr9	47530496	47530696	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001025600, intron 1 of 8)	CpG	244.0	NM_001025600	54725.0	Mm.234832	NM_018770	ENSMUSG00000032076	Cadm1	2900073G06Rik|3100001I08Rik|AI987920|Bl2|Igsf4|Igsf4a|Necl2|RA175|RA175A|RA175B|RA175C|RA175N|ST17|SgIGSF|SynCam|Tslc1	cell adhesion molecule 1	protein-coding	41.99500000000001	16.805
chr6_46281108_46281308	chr6	46281108	46281308	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001004357, intron 10 of 23)	L1MB1|LINE|L1	-963188.0	NM_025771	66797.0	Mm.440084	NM_025771	ENSMUSG00000039419	Cntnap2	5430425M22Rik|Caspr2|mKIAA0868	contactin associated protein-like 2	protein-coding	198.435	6.619999999999999
chr14_48458989_48459191	chr14	48458990	48459190	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001310584, intron 4 of 16)	intron (NM_001310584, intron 4 of 16)	12738.0	NM_172600	218989.0	Mm.85211	NM_172600	ENSMUSG00000036339	Tmem260	5930435P15|6720456H20Rik	transmembrane protein 260	protein-coding	126.955	56.81
chr9_33892104_33892304	chr9	33892104	33892304	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-150167.0	NR_040744	77119.0	Mm.367930	NR_040744	ENSMUSG00000098758	7630403G23Rik	-	RIKEN cDNA 7630403G23 gene	ncRNA	15.98	1.77
chr3_15959402_15959602	chr3	15959402	15959602	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001081687, intron 3 of 3)	Lx3B|LINE|L1	46830.0	NM_001081687	381484.0	Mm.217376	NM_001081687	ENSMUSG00000078780	Gm5150	-	predicted gene 5150	protein-coding	16.265	2.075
